Date,Store_ID,Product_ID,Category,Region,Price,Units_Sold,Promotion,Holiday,Temperature,Rainfall,Sales
2023-01-01,S001,P008,Home,North,40,151,Yes,Yes,16.3,1.9,6040
2023-01-01,S001,P014,Clothing,North,478,58,No,Yes,20.8,2.9,27724
2023-01-01,S001,P011,Grocery,North,486,42,No,Yes,25.8,3.6,20412
2023-01-01,S001,P004,Home,North,290,124,No,Yes,26.5,3.7,35960
2023-01-01,S001,P017,Electronics,North,119,193,Yes,Yes,17.1,3.4,22967
2023-01-01,S001,P007,Grocery,North,720,89,No,Yes,13.3,0.9,64080
2023-01-01,S001,P003,Grocery,North,880,155,No,Yes,15.7,4.5,136400
2023-01-01,S002,P002,Clothing,South,455,30,No,Yes,28.8,4.2,13650
2023-01-01,S002,P005,Electronics,South,126,120,No,Yes,32.4,2.6,15120
2023-01-01,S002,P006,Clothing,South,91,166,No,Yes,21.7,4.3,15106
2023-01-01,S002,P004,Home,South,290,172,No,Yes,25.4,3.7,49880
2023-01-01,S002,P011,Grocery,South,486,78,No,Yes,17.5,4.6,37908
2023-01-01,S002,P017,Electronics,South,119,180,Yes,Yes,27.5,8.3,21420
2023-01-01,S002,P003,Grocery,South,880,52,No,Yes,31.5,7.6,45760
2023-01-01,S003,P017,Electronics,East,119,116,No,Yes,23.4,2.2,13804
2023-01-01,S003,P003,Grocery,East,880,138,No,Yes,20.1,1.9,121440
2023-01-01,S003,P008,Home,East,40,104,No,Yes,21.7,0.0,4160
2023-01-01,S003,P012,Home,East,234,143,No,Yes,20.2,2.8,33462
2023-01-01,S003,P015,Grocery,East,107,24,No,Yes,20.3,3.7,2568
2023-01-01,S003,P011,Grocery,East,486,162,Yes,Yes,21.1,1.6,78732
2023-01-01,S003,P001,Electronics,East,122,117,Yes,Yes,16.4,4.2,14274
2023-01-01,S004,P018,Clothing,West,891,102,No,Yes,24.5,2.7,90882
2023-01-01,S004,P008,Home,West,40,200,Yes,Yes,24.7,6.7,8000
2023-01-01,S004,P014,Clothing,West,478,68,Yes,Yes,22.9,5.6,32504
2023-01-01,S004,P005,Electronics,West,126,38,No,Yes,22.6,1.8,4788
2023-01-01,S004,P010,Clothing,West,141,135,No,Yes,24.5,5.4,19035
2023-01-01,S004,P007,Grocery,West,720,175,Yes,Yes,26.4,0.0,126000
2023-01-01,S004,P017,Electronics,West,119,72,No,Yes,29.5,3.9,8568
2023-01-01,S005,P006,Clothing,Central,91,69,No,Yes,23.4,3.6,6279
2023-01-01,S005,P002,Clothing,Central,455,77,No,Yes,27.5,5.3,35035
2023-01-01,S005,P013,Electronics,Central,350,137,No,Yes,21.9,3.0,47950
2023-01-01,S005,P010,Clothing,Central,141,37,No,Yes,21.5,4.5,5217
2023-01-01,S005,P012,Home,Central,234,162,No,Yes,19.6,2.8,37908
2023-01-01,S005,P019,Grocery,Central,683,149,No,Yes,17.4,5.8,101767
2023-01-01,S005,P015,Grocery,Central,107,37,No,Yes,20.2,3.8,3959
2023-01-02,S001,P002,Clothing,North,455,100,No,Yes,29.6,1.6,45500
2023-01-02,S001,P015,Grocery,North,107,81,No,Yes,23.4,2.2,8667
2023-01-02,S001,P005,Electronics,North,126,145,Yes,Yes,23.4,0.0,18270
2023-01-02,S001,P018,Clothing,North,891,28,No,Yes,24.7,1.5,24948
2023-01-02,S001,P011,Grocery,North,486,185,Yes,Yes,30.6,4.3,89910
2023-01-02,S001,P014,Clothing,North,478,39,No,Yes,20.1,6.2,18642
2023-01-02,S001,P006,Clothing,North,91,132,No,Yes,18.9,6.3,12012
2023-01-02,S002,P019,Grocery,South,683,76,Yes,Yes,35.5,3.0,51908
2023-01-02,S002,P012,Home,South,234,57,No,Yes,36.5,2.0,13338
2023-01-02,S002,P017,Electronics,South,119,140,Yes,Yes,30.1,9.4,16660
2023-01-02,S002,P018,Clothing,South,891,44,No,Yes,28.8,1.8,39204
2023-01-02,S002,P004,Home,South,290,83,Yes,Yes,30.6,6.2,24070
2023-01-02,S002,P003,Grocery,South,880,77,No,Yes,29.8,5.3,67760
2023-01-02,S002,P011,Grocery,South,486,69,No,Yes,28.8,4.8,33534
2023-01-02,S003,P017,Electronics,East,119,143,No,Yes,21.9,3.2,17017
2023-01-02,S003,P003,Grocery,East,880,148,No,Yes,21.2,2.6,130240
2023-01-02,S003,P006,Clothing,East,91,143,No,Yes,19.5,0.3,13013
2023-01-02,S003,P013,Electronics,East,350,124,No,Yes,25.8,2.5,43400
2023-01-02,S003,P015,Grocery,East,107,68,Yes,Yes,20.9,1.8,7276
2023-01-02,S003,P001,Electronics,East,122,104,No,Yes,26.3,0.0,12688
2023-01-02,S003,P012,Home,East,234,126,No,Yes,25.1,4.3,29484
2023-01-02,S004,P012,Home,West,234,69,No,Yes,22.9,0.1,16146
2023-01-02,S004,P006,Clothing,West,91,101,No,Yes,19.1,2.6,9191
2023-01-02,S004,P011,Grocery,West,486,83,No,Yes,25.3,1.6,40338
2023-01-02,S004,P019,Grocery,West,683,123,No,Yes,28.4,3.9,84009
2023-01-02,S004,P001,Electronics,West,122,76,No,Yes,28.1,2.8,9272
2023-01-02,S004,P004,Home,West,290,96,No,Yes,11.7,5.3,27840
2023-01-02,S004,P008,Home,West,40,80,No,Yes,25.9,3.9,3200
2023-01-02,S005,P008,Home,Central,40,44,Yes,Yes,23.9,0.9,1760
2023-01-02,S005,P020,Home,Central,150,92,No,Yes,22.6,3.7,13800
2023-01-02,S005,P013,Electronics,Central,350,143,No,Yes,15.9,4.4,50050
2023-01-02,S005,P011,Grocery,Central,486,93,Yes,Yes,27.9,4.4,45198
2023-01-02,S005,P002,Clothing,Central,455,28,No,Yes,21.7,2.4,12740
2023-01-02,S005,P004,Home,Central,290,138,No,Yes,27.7,3.5,40020
2023-01-02,S005,P010,Clothing,Central,141,201,Yes,Yes,22.9,2.0,28341
2023-01-03,S001,P004,Home,North,290,34,No,Yes,17.5,0.0,9860
2023-01-03,S001,P009,Electronics,North,634,83,Yes,Yes,8.1,2.5,52622
2023-01-03,S001,P015,Grocery,North,107,87,No,Yes,26.6,5.1,9309
2023-01-03,S001,P002,Clothing,North,455,83,No,Yes,27.6,2.2,37765
2023-01-03,S001,P008,Home,North,40,114,No,Yes,20.6,0.0,4560
2023-01-03,S001,P018,Clothing,North,891,114,No,Yes,23.4,6.4,101574
2023-01-03,S001,P012,Home,North,234,135,No,Yes,16.5,0.0,31590
2023-01-03,S002,P017,Electronics,South,119,57,No,Yes,24.1,4.0,6783
2023-01-03,S002,P018,Clothing,South,891,57,Yes,Yes,32.2,2.5,50787
2023-01-03,S002,P001,Electronics,South,122,29,No,Yes,22.3,2.6,3538
2023-01-03,S002,P020,Home,South,150,111,No,Yes,23.4,2.9,16650
2023-01-03,S002,P004,Home,South,290,86,No,Yes,27.6,2.6,24940
2023-01-03,S002,P012,Home,South,234,143,No,Yes,25.7,2.4,33462
2023-01-03,S002,P008,Home,South,40,114,No,Yes,35.1,3.5,4560
